% 
% age [1000 yrs]   Oxygen isotope measured from foraminifera. (site 1)
%
%   yrs(x1000)      Oxygen isotope
%
    876.69544      -4.38459 
    880.42032      -2.30577 
    881.64551      -2.09920 
    885.41847      -1.05605 
    888.19735      -0.05846 
    891.60411       0.27847 
    894.48194      -1.09690 
    895.80764       0.64463 
    901.51671       0.92652 
    902.31790       0.24510 
    904.73857       0.78259 
    907.60391      -0.03293 
    912.74514      -0.17643 
    914.34055       0.37167 
    920.15403       1.87956 
    920.20150       1.39984 
    923.20860       3.57589 
    926.71127       2.97120 
    928.07094       4.18196 
    931.92222       2.70045 
    933.56895       2.09354 
    939.14902       1.12080 
    941.35269       0.41532 
    942.77350       1.41749 
    947.01960      -0.75474 
    949.50348      -0.95022 
    954.23881      -2.79908 
    957.16442      -2.20426 
    959.40815      -1.02715 
    962.19131      -0.61900 
    965.45073      -0.71872 
    966.83273      -0.44051 
    970.91442      -1.08774 
    973.10209      -1.48765 
    977.31428      -2.45401 
    979.22238      -2.05025 
    984.22438      -1.53143 
    985.47240      -0.85519 
    989.52174      -2.09044 
    991.16466      -0.44950 
    992.64867      -2.67616 
    997.46537      -0.49484 
