%
% age [1000 yrs]   
%
%   yrs(x1000)  variation (%)
%
     792.836     -8.72285
     794.752     -9.48894
     798.591     -8.09544
     802.609     -7.44895
     805.077     -6.97763
     809.285     -4.78992
     811.189     -6.09561
     813.562     -6.30989
     819.274     -8.72194
     822.394     -6.78379
     823.765     -6.97621
     824.606     -5.03667
     829.148     -8.84469
     832.771     -9.97427
     834.266     -8.80204
     838.492     -8.48313
     839.825     -8.55731
     843.832     -8.03278
     847.272     -10.25205
     850.165     -7.00618
     852.670     -10.17101
     855.176     -9.81803
     858.527     -9.93450
     861.119     -10.05782
     861.754     -11.26448
     867.004     -13.10500
     869.619     -11.36520
     872.970     -14.20645
     876.746     -12.45253
     878.928     -11.49805
     880.754     -10.77241
     883.002     -10.45531
     887.047     -8.07419
     891.949     -9.53487
     893.802     -6.86335
     896.599     -8.59812
     901.554     -7.28093
     902.306     -8.82597
     906.964     -10.06765
     909.194     -7.06221
     910.162     -9.94243
     913.124     -8.37564
     917.528     -7.28922
     921.054     -6.03243
     922.059     -5.49996
     925.232     -4.92957
     927.227     -5.99871
     929.808     -5.10473
     935.381     -5.00817
     939.958     -6.01056
     940.873     -7.65217
     945.662     -8.54452
     946.235     -12.31094
     949.452     -11.30405
     953.757     -13.27541
     955.420     -12.82145
     960.263     -11.74250
     961.591     -8.43000
     965.813     -10.61290
     967.444     -9.10177
     969.476     -8.67691
     974.213     -9.59316
     976.641     -10.68744
     981.034     -8.49030
     981.056     -8.78655
     984.998     -9.79751
     987.446     -8.58144
     990.248     -10.56880
     994.191     -10.74249
     996.193     -12.16105
